What is your Gender?,What is your Age?,"02)	What is your university?","03)	What is your Academic Year?",What is your Faculty?,What is your study location?,What is the city of study location?,Do you engage with e-learning?,What is the mode of your internet connection?,What is your internet connection strength?,What device do you use for e-learning?,How much time do you spend each day on an average on distance education?,How effective has e-learning been for you?,How helpful your University has been in offering you the resources to learn from e-learning?,Do you enjoy learning remotely?,How helpful are your teachers while studying online?,How satisfied or dissatisfied were you with the content of the courses?,How satisfied or dissatisfied were you with the format of the courses in e-learning?,How satisfied or dissatisfied were you with the online interaction you had with the instructor?,How satisfied or dissatisfied were you with the amount of online interaction you had with other students?,The course instructor was accessible to answer questions or give feedback.,The presentation of course topics was clear.,How do you feel overall about e-learning?,How stressful were your students while learning remotely during the COVID-Not at all stressful9 pandemic?,How peaceful is the environment at home while e-learning?,How much satisfied with the internet connection for e-learning?,Your comments on e learning satisfaction if any?
Female,20,University of Colombo,1,Applied Sciences,Home,Polgahawela,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Satisfied,Dissatisfied,Disagree,Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,23,University of Colombo,3,Applied Sciences,Home,kegalle,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Very good,Slightly stressful,Slightly helpful,Neither Satisfied or Dissatisfied,"
Will makes some long term diseases such as eye pain & vision problems. "
Female,26,University of Colombo,5,Applied Sciences,Home,kegalle,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Disagree,Strongly Disagree,Very good,Moderately stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,24,University of Colombo,4,Applied Sciences,Home,kegalle,Yes,WiFi Router,2,Laptop;Smartphone,10+ hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Strongly Disagree,Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,21,University of Colombo,2,Applied Sciences,Home,kegalle,Yes,WiFi Router,4,Desktop,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Not at all helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Disagree,Very good,Moderately stressful,Slightly helpful,Very Dissatisfied,
Female,21,University of Colombo,2,Applied Sciences,Home,kegalle,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Satisfied,Disagree,Disagree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,23,University of Colombo,3,Applied Sciences,Home,Kandy,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Not at all helpful,"Yes, absolutely",Not at all helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Undecided,Strongly Disagree,Good,Very stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,26,University of Colombo,5,Applied Sciences,Home,Kandy,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Extremely effective,Not at all helpful,"Yes, absolutely",Not at all helpful,Neither Satisfied or Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Undecided,Strongly Disagree,Very good,Slightly stressful,Slightly helpful,Very Dissatisfied,
Female,21,University of Colombo,2,Applied Sciences,Home,Kandy,Yes,WiFi Router,1,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, not at all",Very helpful,Very Satisfied,Satisfied,Dissatisfied,Dissatisfied,Disagree,Disagree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,20,University of Colombo,1,Applied Sciences,Home,Kandy,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Disagree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,22,University of Colombo,2,Applied Sciences,Home,Kandy,Yes,WiFi Router,4,Laptop;Smartphone,10+ hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Undecided,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Colombo,4,Applied Sciences,Home,Kandy,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, not at all",Not at all helpful,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Agree,Agree,Good,Very stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,26,University of Colombo,5,Applied Sciences,Home,Gampola,Yes,WiFi Router,1,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Moderately helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Disagree,Poor,Very stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Colombo,3,Applied Sciences,Home,Gampola,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Undecided,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,20,University of Colombo,1,Applied Sciences,Home,Gampola,Yes,Mobile;WiFi Router,2,Laptop;Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Very Satisfied,Dissatisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,26,University of Colombo,5,Medicine,Home,Gampola,No,WiFi Router,5,Laptop;Smartphone,3-5 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Satisfied,Dissatisfied,Dissatisfied,Agree,Undecided,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Colombo,5,Medicine,Home,Gampola,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, not at all",Extremely helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Strongly Disagree,Very good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Colombo,4,Medicine,Home,Gampola,Yes,WiFi Router,1,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Disagree,Poor,Not at all stressful,Slightly helpful,Very Dissatisfied,
Female,23,University of Colombo,3,Medicine,Home,Matale,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Extremely effective,Very helpful,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Good,Extremely stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Colombo,3,Medicine,Home,Matale,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Disagree,Very good,Very stressful,Slightly helpful,Very Dissatisfied,
Female,21,University of Colombo,2,Medicine,Home,Matale,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Strongly Disagree,Strongly Disagree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,23,University of Colombo,3,Arts,Home,Matale,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Colombo,5,Arts,Home,Dambulla,Yes,Broadband,3,Desktop,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,22,University of Colombo,2,Arts,Home,Dambulla,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Undecided,Undecided,Very good,Very stressful,Slightly helpful,Very Dissatisfied,
Female,24,University of Colombo,4,Arts,Home,Dambulla,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,21,University of Colombo,2,Arts,Home,Dambulla,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Strongly Disagree,Strongly Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,24,University of Colombo,4,Law,Home,Dambulla,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, not at all",Very helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Colombo,3,Law,Home,Dambulla,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,22,University of Colombo,2,Law,Home,Dambulla,Yes,WiFi Router,2,Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Strongly Agree,Fair,Moderately stressful,Not at all helpful,Dissatisfied,
Female,22,University of Colombo,2,Law,Home,Tricomalee,Yes,WiFi Router,2,Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Colombo,5,Law,Home,Kekirawa,Yes,WiFi Router,2,Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Very helpful,Very Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,23,University of Colombo,3,Law,Home,Melsiripura,Yes,WiFi Router,2,Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Undecided,Undecided,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,22,University of Colombo,2,Law,Home,Galle,Yes,WiFi Router,3,Desktop,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,E learnng is good
Female,24,University of Colombo,4,Management and Finance,Home,Galle,Yes,WiFi Router,1,Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Extremely helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Poor,Very stressful,Not at all helpful,Very Dissatisfied,
Female,24,University of Colombo,4,Management and Finance,Home,Galle,Yes,WiFi Router,1,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,22,University of Colombo,2,Management and Finance,Home,Galle,Yes,WiFi Router,2,Laptop,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Moderately helpful,Very Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,25,University of Colombo,4,Management and Finance,Home,Galle,Yes,WiFi Router,3,Laptop,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Undecided,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Colombo,5,Management and Finance,Home,Galle,Yes,WiFi Router,1,Laptop,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Dissatisfied,Very Dissatisfied,Agree,Agree,Poor,Very stressful,Not at all helpful,Very Dissatisfied,
Female,20,Eastern University,1,Faculty of Science,Home,Galle,Yes,Mobile;WiFi Router,2,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,23,Eastern University,3,Faculty of Science,Home,Galle,Yes,WiFi Router,2,Laptop,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Fair,Slightly stressful,Not at all helpful,Dissatisfied,
Female,25,Eastern University,4,Faculty of Science,Home,Galle,Yes,WiFi Router,2,Laptop,5-7 hours,Extremely effective,Very helpful,"No, not at all",Not at all helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Fair,Very stressful,Not at all helpful,Dissatisfied,"

E learning will makes machinery people instead of peoples with humanity, in the near future."
Female,23,Eastern University,3,Faculty of Science,Home,Galle,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,21,Eastern University,2,Faculty of Agriculture,Home,Galle,Yes,WiFi Router,2,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,20,Eastern University,1,Faculty of Agriculture,Home,Galle,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,20,Eastern University,1,Faculty of Agriculture,Home,Matara,Yes,WiFi Router,4,Laptop,5-7 hours,Very effective,Very helpful,"No, not at all",Not at all helpful,Satisfied,Satisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,23,Eastern University,3,Faculty of Agriculture,Home,Matara,Yes,Broadband,4,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,22,Eastern University,2,Faculty of Commerce and Management,Home,Matara,Yes,WiFi Router,3,Laptop,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Fair,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,24,Eastern University,4,Faculty of Commerce and Management,Home,Matara,Yes,WiFi Router,3,Laptop;Smartphone,10+ hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Not at all helpful,Neither Satisfied or Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Agree,Agree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,22,Eastern University,2,Faculty of Commerce and Management,Home,Matara,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Strongly Disagree,Disagree,Very good,Very stressful,Slightly helpful,Dissatisfied,
Female,20,Eastern University,1,Faculty of Applied Sciences.,Home,Matara,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Not at all helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,21,Eastern University,2,Faculty of Applied Sciences.,Relative's Home,Matara,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Excellent,Not at all stressful,Not at all helpful,Dissatisfied,
Female,21,Eastern University,2,Faculty of Applied Sciences.,"Public Place (Eg:- Library, Temple, etc...)",Matara,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Agree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,22,Eastern University,2,Faculty of Applied Sciences.,Relative's Home,Matara,Yes,WiFi Router,4,Desktop,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Satisfied,Undecided,Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,25,Eastern University,4,Faculty of Applied Sciences.,Home,Matara,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Not at all helpful,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Strongly Disagree,Disagree,Excellent,Slightly stressful,Not at all helpful,Dissatisfied,
Female,25,Eastern University,4,Faculty of Applied Sciences.,Home,Matara,Yes,WiFi Router,5,Laptop;Smartphone,10+ hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Excellent,Extremely stressful,Slightly helpful,Dissatisfied,
Female,24,Eastern University,4,Faculty of Arts and Culture,Home,Matara,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Excellent,Moderately stressful,Slightly helpful,Dissatisfied,
Female,20,Eastern University,1,Faculty of Arts and Culture,Home,Weligama,Yes,Broadband,4,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Disagree,Disagree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,20,Eastern University,1,Faculty of Arts and Culture,Home,Kalutara,No,WiFi Router,5,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Disagree,Excellent,Moderately stressful,Slightly helpful,Very Dissatisfied,
Female,20,Eastern University,1,Faculty of Arts and Culture,Home,Kalutara,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Strongly Agree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,22,Eastern University,2,Faculty of Health Care Sciences,Home,Kalutara,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Disagree,Disagree,Excellent,Slightly stressful,Slightly helpful,Dissatisfied,
Female,24,Eastern University,4,Faculty of Health Care Sciences,Home,Kalutara,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,20,Eastern University,1,Faculty of Health Care Sciences,Home,Kalutara,Yes,WiFi Router,4,Desktop,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Very Satisfied,Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Very good,Slightly stressful,Slightly helpful,Very Dissatisfied,
Female,24,Eastern University,4,Faculty of Health Care Sciences,Home,Kalutara,Yes,Satellite,1,Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Very Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,24,Eastern University,4,Unit of Siddha Medicine,Home,Kalutara,Yes,WiFi Router,1,Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Disagree,Poor,Extremely stressful,Not at all helpful,Very Dissatisfied,
Female,20,Eastern University,1,Unit of Siddha Medicine,Home,Panadura,Yes,WiFi Router,3,Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Strongly Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,24,Eastern University,4,Faculty of Communication & Business Studies,Home,Panadura,Yes,WiFi Router,4,Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,21,Eastern University,2,Faculty of Communication & Business Studies,Home,Panadura,Yes,WiFi Router,1,Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Undecided,Strongly Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,e-learning is very effective than traditional learning
Female,23,Eastern University,3,Faculty of Communication & Business Studies,Home,Panadura,Yes,WiFi Router,1,Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,24,Eastern University,4,Faculty of Applied Sciences.,Home,Panadura,Yes,WiFi Router,4,Laptop,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,26,Eastern University,5,Faculty of Applied Sciences.,Home,Panadura,Yes,WiFi Router,4,Laptop,5-7 hours,Very effective,Very helpful,"No, not at all",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Satisfied,Undecided,Agree,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Jaffna,4,Faculty of Agriculture,Home,Panadura,Yes,WiFi Router,4,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Disagree,Strongly Agree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Agriculture,Home,Panadura,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Strongly Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Agriculture,Home,Ambalangoda,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Agriculture,Home,Ambalangoda,Yes,Broadband,4,Laptop,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Disagree,Agree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Applied Sciences,Friend's Home,Ambalangoda,Yes,WiFi Router,3,Laptop,5-7 hours,Extremely effective,Very helpful,"No, not at all",Moderately helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Jaffna,4,Faculty of Applied Sciences,Friend's Home,Ambalangoda,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Agree,Good,Extremely stressful,Not at all helpful,Very Dissatisfied,
